"partnerId","type","organization","energy","active","zip","city","street","houseNumber","iban","bic","bank","accountHolder","accountingAllocationIndicator","deleted","reminderEmailAddress"
"9903598000006","provider","STÄDTISCHE WERKE AKTIENGESELLSCHA ","electricity","1","34117","Kassel","Königstor","3-13",,"HELADEF1KAS","KASSELER SPARKASSE","Städtische Werke Kassel AG","standard","0","Vertrieb@stwks.de"
"9903543000001","provider","NEXUS ENERGIE GMBH ","electricity","1","40547","Düsseldorf","Fritz-Vomfelde-Str.","34-38",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","netz@nexus-energie.de"
"9903648000005","provider","ÜW ERDING ","electricity","1","85435","Erding","Am Gries","21",,"BYLADEM1ERD","KREIS- UND STADTSPARKASSE ERDING - DORFEN",,"standard","0","Grassl@Stadtwerke-Erding.de"
"9903340000006","provider","ENERGIE SCHIFFERSTADT ","electricity","1","67105","Schifferstadt","Mühlstr.","18",,"LUHSDE6AXXX","Sparkasse Vorderpfalz",,"standard","0",
"9903531000005","provider","SW BÜHL ","electricity","1","77815","Bühl","Siemensstr.","5",,"SOLADES1BHL","SPARKASSE BUEHL",,"standard","0","liefwechsel@stadtwerke‐buehl.de"
"9903213000000","provider","SW HEIDENHEIM ","electricity","1","89522","Heidenheim","Meeboldstr.","1",,"SOLADES1HDH","KREISSPARKASSE HEIDENHEIM",,"standard","0","netznutzung.electricity@stadtwerke-heidenheim.de"
"9903234000005","provider","SW BIETIGHEIM-BISSINGEN ","electricity","1","74321","Bietigheim-Bissingen","Rötestr.","8",,"SOLADES1LBG","KREISSPARKASSE LUDWIGSBURG",,"standard","0","marktkommunikation@sw-bb.de"
"9903318000004","provider","SW COTTBUS ","electricity","1","03046","Cottbus","Karl-Liebknecht-Str.","130",,NULL,NULL,,"standard","0","daniela.jahnke@stadtwerke-cottbus.de"
"9903729000007","provider","SW KARLSRUHE ","electricity","1","76185","Karlsruhe","Daxlander Str.","72",,"KARSDE66XXX","SPARKASSE KARLSRUHE",,"standard","0","lieferantenwechsel@stadtwerke-karlsruhe.de"
"9903277000004","provider","SW FELLBACH ","electricity","1","70736","Fellbach","Ringstr.","5",,"SOLADES1WBN","KREISSPARKASSE WAIBLINGEN",,"standard","0","marktkommunikation@stadtwerke-fellbach.de"
"9904361000009","provider","illwerke vkw Deutschland GmbH","electricity","1","88161","Lindenberg","Sedanstr.","19",,"HYVEDEMM473","UNICREDIT BANK AG (HYPOVEREINSBANK)",,"standard","0","lieferant@illwerkevkw.de"
"9903046000003","provider","SW GOTHA ","electricity","1","99867","Gotha","Pfullendorfer Str.","83",,"DEUTDE8EXXX","DEUTSCHE BANK AG",,"standard","0","info-vertrieb@stadtwerke-gotha.de"
"9904129000001","provider","EW WEISSENHORN ","electricity","1","89264","Weißenhorn","Illerberger Str.","6a",,"GENODEF1NU1","VR-BANK NEU-ULM EG",,"standard","0","guenter.botzenhart@ewag-weissenhorn.de"
"9903583000003","provider","SW WALLDÜRN ","electricity","1","74731","Walldürn","Würzburger Str.","10-18",,"SOLADES1MOS","SPARKASSE NECKARTAL-ODENWALD",,"standard","0","verbrauchsabrechnung@sw-wallduern.de"
"9904103000001","provider","SW TUTTLINGEN ","electricity","1","78532","Tuttlingen","Bahnhofstr.","120",,"SOLADES1TUT","KREISSPARKASSE TUTTLINGEN",,"standard","0","julia.deutscher@swtenergie.de	"
"9903992000008","provider","SW BAD SAULGAU ","electricity","1","88348","Bad Saulgau","Moosheimer Str.","28",,"GENODES1SLG","VOLKSBANK BAD SAULGAU EG",,"standard","0","vertrieb@stadtwerke-bad-saulgau.de"
"9903964000002","provider","HEV HOHENLOHER ENERGIE VERSORGUNG GMBH","electricity","1","74532","Ilshofen","Orlacher Str.","1",,"SOLADES1SHA","SPARKASSE SCHWAEBISCH HALL-CRAILSHEIM",,"standard","0","lieferantenwechsel@hn-ewv.de"
"9903254000001","provider","SW NÜRTINGEN ","electricity","1","72622","Nürtingen","Porschestr.","5-9",,"ESSLDE66XXX","KREISSPARKASSE ESSLINGEN-NUERTINGEN",,"standard","0","markus.krohmer@sw-nuertingen.de"
"9903380000008","provider","SW MENGEN ","electricity","1","88512","Mengen","Mittlere Str.","40",,"SOLADES1SIG","HOHENZOLLERISCHE LANDESBANK KREISSPARKASSE",,"standard","0","susanne.bischofberger@mengen.de"
"9903937000005","provider","GW KRAUCHENWIES ","electricity","1","72505","Krauchenwies","Hausener Str.","1",,"SOLADES1SIG","HOHENZOLLERISCHE LANDESBANK KREISSPARKASSE",,"standard","0","lieferantenwechsel-electricity@suedwest-edm.de"
"9903552000000","provider","HEW HOFENERGIE+WASSER GMBH ","electricity","1","95028","Hof","Unterkotzauer Weg","25",,NULL,NULL,,"standard","0","stefan.hoesch@stadtwerke-hof.de"
"9903764000004","provider","GAMMERTINGER EW ","electricity","1","72501","Gammertingen","Hohenzollernstr.","5",,"SOLADES1SIG","HOHENZOLLERISCHE LANDESBANK KREISSPARKASSE",,"standard","0","clearing.stromlieferant.gew@swits.de"
"9903903000005","provider","SW SINDELFINGEN ","electricity","1","74523","Schwäbisch Hall","An der Limpurgbrücke","1",,"GENODES1SHA","VR BANK SCHWAEBISCH HALL-CRAILSHEIM",,"standard","0","mareike.klobuzenski@stadtwerke-hall.de"
"4260016040025","provider","ENERGIEDIENST AG ","electricity","1","79618","Rheinfelden","Schönbergerstr.","10",,"DEUTDE6F683","DEUTSCHE BANK AG",,"standard","0","lrv@energiedienst.de"
"4042805000409","provider","ENVIA M ","electricity","1","09114","Chemnitz","Chemnitztalstr.","13",,"DEUTDE8CXXX","DEUTSCHE BANK AG",,"standard","0","liefermanagement-nord@enviam.de"
"9903401000002","provider","SW SCHWÄBISCH GMÜND ","electricity","1","73525","Schwäbisch Gmünd","Bürgerstr.","5",,"OASPDE6AXXX","KREISSPARKASSE OSTALB",,"standard","0","versorgerwechsel@stwgd.de"
"9903516000004","provider","SYNECO ","electricity","1","80802","München","Mandlstr.","3",,NULL,NULL,,"standard","0",
"9903682000003","provider","NEW ENERGIE GMBH ","electricity","1","4123641209","Mönchengladbach","Odenkirchener Str.","201",,NULL,NULL,,"standard","0","lieferantenwechsel@new-energie-gmbh.de"
"9903682000003","provider","NEW NIEDERRHEIN ENERGIE U. WASSER GMBH","electricity","1","41236","Mönchengladbach","Odenkirchener Str.","201",,NULL,NULL,,"standard","0","lieferantenwechsel@new-energie-gmbh.de"
"9903156000000","provider","SW OSNABRÜCK  ","electricity","1","49074","Osnabrück","Alte Poststr.","9",,NULL,NULL,,"standard","0","lieferantenwechsel@swo.de"
"9903156000000","provider","SW OSNABRÜCK ","electricity","1","49074","Osnabrück","Alte Poststr.","9",,"NOLADE22XXX","SPARKASSE OSNABRUECK",,"standard","0","marktkommunikation@stw-os.de"
"9903605000006","provider","ÜW EPPLER ","electricity","1","72359","Dotternhausen","Dormetinger Str.","32",,NULL,NULL,,"standard","0","lieferantenwechsel-electricity@suedwest-edm.de"
"9904225000004","provider","SW BAD HERRENALB ","electricity","1","76332","Bad Herrenalb","Bahnhofstr.","12",,NULL,NULL,,"standard","0","badherrenalb@24-7-online.de"
"9904225000004","provider","SW BAD HERRENALB","electricity","1","76332","Bad Herrenalb","Bahnhofstr.","12",,"PZHSDE66XXX","SPARKASSE PFORZHEIM CALW",,"standard","0","badherrenalb@24-7-online.de"
"9907722000006","net","VORARLBERGER ENERGIENETZE GMBH","electricity","1","88161","Lindenberg","Sedanstr.","19","DE26731500000000304774","BYLADEM1MLM","SPARKASSE MEMMINGEN-LINDAU-MINDELHEIM",,"standard","0","mako@e-netzeallgaeu.de"
"9903632000003","provider","NATURSTROMHANDEL ","electricity","1","40237","Düsseldorf","Achenbachstraße","43",,"GENODEM1GLS","GLS GEMEINSCHAFTSBANK EG",,"standard","0","wechselprozesse@naturstrom.de"
"4045458000048","provider","RHEIN-RUHR VERTEILNETZ GMBH","electricity","1","46483","Wesel","Reeser Landstr.","41",,NULL,NULL,,"standard","0",
"9903242000005","provider","ENERGIEGUT ","electricity","1","44787","Bochum","Arndtstr.","14",,"DUISDE33XXX","SPARKASSE DUISBURG",,"standard","0","mk-online@dvv.de"
"9903242000005","provider","ENERGIEGUT ","electricity","1","52070","Aachen","Alfonsstr.","44",,"DEUTDEDK390","DEUTSCHE BANK AG",,"standard","0","mk-online@dvv.de"
"9903127000005","provider","SWE ENERGIE GMBH ","electricity","1","99086","Erfurt","Magdeburger Allee","34",,"HYVEDEMM498","UNICREDIT BANK AG (HYPOVEREINSBANK)",,"standard","0","clearingstelle.ara@stadtwerke-erfurt.de"
"9903293000004","provider","EVH GMBH ","electricity","1","06108","Halle","Bornknechtstr.","5",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","bilanzkreis@evh.de"
"9906393000007","msb","BRAUNSCHWEIGER VERSORGUNGS AG","electricity","1","79618","Rheinfelden","Rheinbrückstr.","5/7",NULL,NULL,NULL,NULL,"standard","0",
"9907276000007","net","E.WA RISS NETZE GMBH","electricity","1","88400","Biberach","Freiburger Str.","6","DE76630901000000310000","ULMVDE66XXX","VOLKSBANK ULM-BIBERACH EG",,"standard","0","netzwirtschaft@ewa-netze.de"
"9903326000004","provider","PROENGENO GMBH & CO.KG ","electricity","1","26844","Jemgum","Nendorper Str.","15",,"GENODEF1MAR","RAIFFEISEN-VOLKSBANK FRESENA EG",,"standard","0","mpk-allgemein@proengeno.de"
"9903542000002","provider","Energieversorgung Filstal GmbH & Co. KG","electricity","1","73033","Göppingen","Großeislinger Str.","30",,"GOPSDE6GXXX","KREISSPARKASSE GOEPPINGEN",,"standard","0","vertrieb@evf.de"
"9903189000001","provider","WEMAG AG ","electricity","1","19053","Schwerin","Obotritenring","40",,"DRESDEFF140","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","nonedifact@wemag.com"
"9903330000008","provider","EV GERA GMBH ","electricity","1","07545","Gera","De-Smit-Str.","18",,"HELADEF1GER","SPARKASSE GERA-GREIZ",,"standard","0","sandra.neugebauer@energieversorgung-gera.de"
